仅地点仅包含java源码与作者自己的xml,吞进去的内置mod没有算
EMPTY                           			空置域(暂存世界)
WORLD_MAP                       			莉莉丝的王国
DOMINION                        			御城区
MUSEUM                          			博物馆
MUSEUM_LOST                     			博物馆
LILAYAS_HOUSE_GROUND_FLOOR      			莉莱雅的家 一楼
LILAYAS_HOUSE_FIRST_FLOOR       			莉莱雅的家 二楼
ZARANIX_HOUSE_FIRST_FLOOR       			扎拉尼克斯的家 二楼
ZARANIX_HOUSE_GROUND_FLOOR      			扎拉尼克斯的家 一楼
HARPY_NEST                      			哈比之巢
SLAVER_ALLEY                    			奴隶巷
BOUNTY_HUNTER_LODGE             			锈项圈酒馆
BOUNTY_HUNTER_LODGE_UPSTAIRS    			锈项圈酒馆(楼上)
SHOPPING_ARCADE                 			购物中心
TEXTILES_WAREHOUSE              			凯记纺织
ENFORCER_HQ                     			执法者总部
ENFORCER_WAREHOUSE              			SWORD仓库
CITY_HALL                       			市镇议会厅
HOME_IMPROVEMENTS               			阿格斯的DIY仓库
DOMINION_EXPRESS                			御城速递
ANGELS_KISS_GROUND_FLOOR        			天使之吻 一楼
ANGELS_KISS_FIRST_FLOOR         			天使之吻 二楼
NIGHTLIFE_CLUB                  			饮水洼夜店
DADDYS_APARTMENT                			爹地的公寓
FELICIA_APARTMENT               			微型公寓
HELENAS_APARTMENT               			海伦娜的公寓
NYANS_APARTMENT                 			妮安的公寓
SUBMISSION                      			屈城区
LYSSIETH_PALACE                 			莉西丝的宫殿
IMP_FORTRESS_ALPHA              			小恶魔要塞 A
IMP_FORTRESS_DEMON              			小恶魔城堡
IMP_FORTRESS_FEMALES            			小恶魔要塞 F
IMP_FORTRESS_MALES              			小恶魔要塞 M
BAT_CAVERNS                     			蝙蝠洞窟
SLIME_QUEENS_LAIR_GROUND_FLOOR  			史莱姆女王塔 一楼
SLIME_QUEENS_LAIR_FIRST_FLOOR   			史莱姆女王塔 二楼
GAMBLING_DEN                    			赌场
RAT_WARRENS                     			鼠窟
REBEL_BASE                      			神秘洞窟
innoxia_dominion_nightlife_lights_out		影液
innoxia_dominion_shopping_arcade_gym		皮克斯的运动场
innoxia_dominion_bank				御城区银行
innoxia_dominion_sex_shop			洛维耶纳奢侈品店
innoxia_fields_elis_abandoned_bakery_f0     破败的面包店 一楼
innoxia_fields_elis_abandoned_bakery_f1     破败的面包店 二楼
innoxia_fields_elis_amazon_camp      		亚马逊人营地
innoxia_fields_elis_bank      				伊利斯银行
innoxia_fields_elis_enforcer_station  		执法局
innoxia_fields_elis_market    				农民市场
innoxia_fields_elis_shops     				墙之尽头
innoxia_fields_elis_tavern_alley      		十字利刃
innoxia_fields_elis_tavern_f0 				红龙酒馆 1楼
innoxia_fields_elis_tavern_f1 				红龙酒馆 2楼
innoxia_fields_elis_tavern_taur       		半人马之剑
innoxia_fields_elis_town      				伊利斯
innoxia_fields_elis_town_hall_f0      		市镇议会
innoxia_fields_elis_town_hall_f1      		市镇议会塔
acexp_dungeon					莉莱雅的地牢
dsg_fields_elis_eisek_sillymode_dungeon		地下室
nnxx_callie_bakery				奶油烘焙店
